complemento.valor ; dets.nItem ; dets.prod.indTot ; dets.prod.qCom ; dets.prod.uCom ; dets.prod.vProd ; dets.prod.vUnCom ; dets.prod.xProd ; emit.cnpj ; emit.enderEmit.fone ; emit.enderEmit.uf ; emit.enderEmit.xBairro ; emit.enderEmit.xLgr ; emit.enderEmit.xMun ; emit.xFant ; ide.dhEmi.$date ; ide.natOp ; infAdic.infCpl ; total.icmsTot.vDesc ; total.icmsTot.vFrete ; total.icmsTot.vOutro ; total.icmsTot.vProd ; total.icmsTot.vSeg ; total.icmsTot.vTotTrib ; total.icmsTot.vbc ; total.icmsTot.vbcst ; total.icmsTot.vcofins ; total.icmsTot.vicms ; total.icmsTot.vicmsDeson ; total.icmsTot.vii ; total.icmsTot.vipi ; total.icmsTot.vnf ; total.icmsTot.vpis ; total.icmsTot.vst ; versaoDocumento
57.11 ; 1 ; 1 ; 1.0 ; UN ; 3.5 ; 3.5 ; AGUA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:22:16 ; VENDA ; Mesa 7 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 5.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 0.0 ; 1.0
57.11 ; 2 ; 1 ; 0.716 ; KG ; 49.11 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:22:16 ; VENDA ; Mesa 7 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 5.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 0.0 ; 1.0
57.11 ; 3 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; CERVEJA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:22:16 ; VENDA ; Mesa 7 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 5.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 57.11 ; 0.0 ; 0.0 ; 1.0
36.19 ; 1 ; 1 ; 0.462 ; KG ; 31.69 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:22:57 ; VENDA ; Mesa 9 ; 0.0 ; 0.0 ; 0.0 ; 36.19 ; 0.0 ; 3.43 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 36.19 ; 0.0 ; 0.0 ; 1.0
36.19 ; 2 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; CERVEJA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:22:57 ; VENDA ; Mesa 9 ; 0.0 ; 0.0 ; 0.0 ; 36.19 ; 0.0 ; 3.43 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 36.19 ; 0.0 ; 0.0 ; 1.0
32.37 ; 1 ; 1 ; 0.472 ; KG ; 32.37 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:23:25 ; VENDA ; Mesa 10 ; 0.0 ; 0.0 ; 0.0 ; 32.37 ; 0.0 ; 1.36 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.37 ; 0.0 ; 0.0 ; 1.0
119.47 ; 1 ; 1 ; 3.0 ; UN ; 3.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:30:26 ; VENDA ; Mesa 11 ; 0.0 ; 0.0 ; 0.0 ; 119.48 ; 0.0 ; 6.9 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 80.65 ; 0.0 ; 0.0 ; 1.0
119.47 ; 2 ; 1 ; 1.7 ; KG ; 116.48 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:30:26 ; VENDA ; Mesa 11 ; 0.0 ; 0.0 ; 0.0 ; 119.48 ; 0.0 ; 6.9 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 80.65 ; 0.0 ; 0.0 ; 1.0
37.04 ; 1 ; 1 ; 0.54 ; KG ; 37.04 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:33:30 ; VENDA ; Mesa 15 ; 0.0 ; 0.0 ; 0.0 ; 37.04 ; 0.0 ; 1.56 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 24.69 ; 0.0 ; 0.0 ; 1.0
32.41 ; 1 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:34:09 ; VENDA ; Mesa 14 ; 0.0 ; 0.0 ; 0.0 ; 32.41 ; 0.0 ; 1.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.41 ; 0.0 ; 0.0 ; 1.0
32.41 ; 2 ; 1 ; 0.458 ; KG ; 31.41 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:34:09 ; VENDA ; Mesa 14 ; 0.0 ; 0.0 ; 0.0 ; 32.41 ; 0.0 ; 1.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.41 ; 0.0 ; 0.0 ; 1.0
34.17 ; 1 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; SUCO ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:35:11 ; VENDA ; Mesa 16 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 2.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 0.0 ; 1.0
34.17 ; 2 ; 1 ; 0.386 ; KG ; 26.47 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:35:11 ; VENDA ; Mesa 16 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 2.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 0.0 ; 1.0
34.17 ; 3 ; 1 ; 1.0 ; UN ; 3.2 ; 3.2 ; DOCINHOS ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:35:11 ; VENDA ; Mesa 16 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 2.79 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 34.17 ; 0.0 ; 0.0 ; 1.0
36.46 ; 1 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; SUCO ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:35:45 ; VENDA ; Mesa 17 ; 0.0 ; 0.0 ; 0.0 ; 36.46 ; 0.0 ; 1.53 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 36.46 ; 0.0 ; 0.0 ; 1.0
36.46 ; 2 ; 1 ; 0.466 ; KG ; 31.96 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:35:45 ; VENDA ; Mesa 17 ; 0.0 ; 0.0 ; 0.0 ; 36.46 ; 0.0 ; 1.53 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 36.46 ; 0.0 ; 0.0 ; 1.0
27.13 ; 1 ; 1 ; 0.33 ; KG ; 22.63 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:38:39 ; VENDA ; Mesa 33 ; 0.0 ; 0.0 ; 0.0 ; 27.13 ; 0.0 ; 3.05 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 27.13 ; 0.0 ; 0.0 ; 1.0
27.13 ; 2 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; REFRIGERANTE ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:38:39 ; VENDA ; Mesa 33 ; 0.0 ; 0.0 ; 0.0 ; 27.13 ; 0.0 ; 3.05 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 27.13 ; 0.0 ; 0.0 ; 1.0
26.65 ; 1 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:40:43 ; VENDA ; Mesa 26 ; 0.0 ; 0.0 ; 0.0 ; 26.65 ; 0.0 ; 1.55 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 26.65 ; 0.0 ; 0.0 ; 1.0
26.65 ; 2 ; 1 ; 0.374 ; KG ; 25.65 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:40:43 ; VENDA ; Mesa 26 ; 0.0 ; 0.0 ; 0.0 ; 26.65 ; 0.0 ; 1.55 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 26.65 ; 0.0 ; 0.0 ; 1.0
30.59 ; 1 ; 1 ; 0.446 ; KG ; 30.59 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:43:22 ; VENDA ; Mesa 18 ; 0.0 ; 0.0 ; 0.0 ; 30.59 ; 0.0 ; 1.29 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 30.59 ; 0.0 ; 0.0 ; 1.0
33.99 ; 1 ; 1 ; 0.43 ; KG ; 29.49 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:43:58 ; VENDA ; Mesa 19 ; 0.0 ; 0.0 ; 0.0 ; 33.99 ; 0.0 ; 3.34 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 33.99 ; 0.0 ; 0.0 ; 1.0
33.99 ; 2 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; CERVEJA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:43:58 ; VENDA ; Mesa 19 ; 0.0 ; 0.0 ; 0.0 ; 33.99 ; 0.0 ; 3.34 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 33.99 ; 0.0 ; 0.0 ; 1.0
21.71 ; 1 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:45:28 ; VENDA ; Mesa 23 ; 0.0 ; 0.0 ; 0.0 ; 21.71 ; 0.0 ; 1.34 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 21.71 ; 0.0 ; 0.0 ; 1.0
21.71 ; 2 ; 1 ; 0.302 ; KG ; 20.71 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:45:28 ; VENDA ; Mesa 23 ; 0.0 ; 0.0 ; 0.0 ; 21.71 ; 0.0 ; 1.34 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 21.71 ; 0.0 ; 0.0 ; 1.0
32.35 ; 1 ; 1 ; 1.0 ; UN ; 3.5 ; 3.5 ; AGUA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:46:02 ; VENDA ; Mesa 24 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 3.27 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 0.0 ; 1.0
32.35 ; 2 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:46:02 ; VENDA ; Mesa 24 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 3.27 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 0.0 ; 1.0
32.35 ; 3 ; 1 ; 0.406 ; KG ; 27.85 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:46:02 ; VENDA ; Mesa 24 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 3.27 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 32.35 ; 0.0 ; 0.0 ; 1.0
23.77 ; 1 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:46:49 ; VENDA ; Mesa 22 ; 0.0 ; 0.0 ; 0.0 ; 23.77 ; 0.0 ; 1.43 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 23.77 ; 0.0 ; 0.0 ; 1.0
23.77 ; 2 ; 1 ; 0.332 ; KG ; 22.77 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:46:49 ; VENDA ; Mesa 22 ; 0.0 ; 0.0 ; 0.0 ; 23.77 ; 0.0 ; 1.43 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 23.77 ; 0.0 ; 0.0 ; 1.0
23.46 ; 1 ; 1 ; 0.342 ; KG ; 23.46 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:47:35 ; VENDA ; Mesa 47 ; 0.0 ; 0.0 ; 0.0 ; 23.46 ; 0.0 ; 0.99 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 23.46 ; 0.0 ; 0.0 ; 1.0
62.36 ; 1 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; LIMONADA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:48:19 ; VENDA ; Mesa 51 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 4.53 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 0.0 ; 1.0
62.36 ; 2 ; 1 ; 0.778 ; KG ; 53.37 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:48:19 ; VENDA ; Mesa 51 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 4.53 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 0.0 ; 1.0
62.36 ; 3 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; REFRIGERANTE ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:48:19 ; VENDA ; Mesa 51 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 4.53 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 62.37 ; 0.0 ; 0.0 ; 1.0
29.97 ; 1 ; 1 ; 1.0 ; UN ; 3.5 ; 3.5 ; AGUA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:49:12 ; VENDA ; Mesa 40 ; 0.0 ; 0.0 ; 0.0 ; 29.97 ; 0.0 ; 2.74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 29.97 ; 0.0 ; 0.0 ; 1.0
29.97 ; 2 ; 1 ; 0.386 ; KG ; 26.47 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:49:12 ; VENDA ; Mesa 40 ; 0.0 ; 0.0 ; 0.0 ; 29.97 ; 0.0 ; 2.74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 29.97 ; 0.0 ; 0.0 ; 1.0
47.3 ; 1 ; 1 ; 0.624 ; KG ; 42.8 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:52:50 ; VENDA ; Mesa 71 ; 0.0 ; 0.0 ; 0.0 ; 47.3 ; 0.0 ; 3.9 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 47.3 ; 0.0 ; 0.0 ; 1.0
47.3 ; 2 ; 1 ; 1.0 ; UN ; 4.5 ; 4.5 ; REFRIGERANTE ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:52:50 ; VENDA ; Mesa 71 ; 0.0 ; 0.0 ; 0.0 ; 47.3 ; 0.0 ; 3.9 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 47.3 ; 0.0 ; 0.0 ; 1.0
39.13 ; 1 ; 1 ; 1.0 ; UN ; 1.0 ; 1.0 ; CHA ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:55:15 ; VENDA ; Mesa 68 ; 0.0 ; 0.0 ; 0.0 ; 39.14 ; 0.0 ; 2.07 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 39.14 ; 0.0 ; 0.0 ; 1.0
39.13 ; 2 ; 1 ; 0.556 ; KG ; 38.14 ; 68.6 ; BUFFET ; 01.234.567/0001-89 ; 1-650-933-4902 ; CA ;  ; 650 Castro St. unit 210 ; Mountain View ; TOTVS Labs ; 2016-01-05 12:55:15 ; VENDA ; Mesa 68 ; 0.0 ; 0.0 ; 0.0 ; 39.14 ; 0.0 ; 2.07 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 39.14 ; 0.0 ; 0.0 ; 1.0
